rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
12,Vyper,ERC20,12,7,Vyper,https://github.com/ApeAcademy/ERC20,ApeAcademy,2,2023-02-22T19:38:48Z,Fresh and Ape-y Token Template
13,Vyper,ERC721,12,6,Vyper,https://github.com/ApeAcademy/ERC721,ApeAcademy,3,2023-03-14T16:51:54Z,Fresh and Ape-y NFT Template
14,Vyper,Vyper-Multisig,9,0,Vyper,https://github.com/crypdoughdoteth/Vyper-Multisig,crypdoughdoteth,0,2023-01-10T02:41:57Z,"Multisig using Vyper, WIP "
15,Vyper,Layer2DAO,9,1,Vyper,https://github.com/Layer2DAO/Layer2DAO,Layer2DAO,0,2022-11-18T20:53:06Z,
16,Vyper,vyper-flashloan,8,1,Vyper,https://github.com/bsh98/vyper-flashloan,bsh98,0,2022-05-02T20:43:47Z,vyper implementation of an aave flash loan receiver
17,Vyper,hodlem,7,0,Vyper,https://github.com/xrchz/hodlem,xrchz,0,2023-04-03T01:50:56Z,Decentralised Texas Hold'em Poker for Ethereum
18,Vyper,erc20-language-tests,6,0,Vyper,https://github.com/de33/erc20-language-tests,de33,0,2022-04-18T12:13:23Z,compares ERC20 contracts in Vyper and Solidity
19,Vyper,2048-in-Vyxal,6,1,Vyper,https://github.com/Lyxal/2048-in-Vyxal,Lyxal,1,2022-06-10T01:44:48Z,The classic 2048 game in Vyxal (text-only)
20,Vyper,uniswap-v2-vyper,5,0,Vyper,https://github.com/deltartificial/uniswap-v2-vyper,deltartificial,0,2022-09-10T10:49:40Z,🐍 Uniswap V2 Interfaces implemented in Vyper
21,Vyper,vyper-with-inheritence,5,1,Vyper,https://github.com/0xClandestine/vyper-with-inheritence,0xClandestine,0,2022-09-14T01:53:08Z,
22,Vyper,smart-contracts,5,1,Vyper,https://github.com/VyperTraining/smart-contracts,VyperTraining,0,2022-07-15T18:46:30Z,
23,Vyper,LearnMoreVyper,4,0,Vyper,https://github.com/0x0077/LearnMoreVyper,0x0077,0,2023-02-19T15:03:06Z,Blockchain by Vyper
24,Vyper,crvtricrypto-arbitrage-polygon,3,1,Vyper,https://github.com/bout3fiddy/crvtricrypto-arbitrage-polygon,bout3fiddy,0,2022-07-29T11:05:14Z,A very basic example of arbitrage bots for Curve pools.
25,Vyper,FrogNationDAO_contract,3,0,Vyper,https://github.com/DevSCNinja/FrogNationDAO_contract,DevSCNinja,0,2022-03-04T15:31:20Z,
26,Vyper,simple-swap-vyper,3,1,Vyper,https://github.com/deltartificial/simple-swap-vyper,deltartificial,0,2022-10-04T15:45:14Z,Vyper Simple Swap - This contract is used to execute swaps between two tokens on Uniswap V2 Router.
